Comparison (group1/group2),PTM.ModificationTitle,N_unique_proteins,N_unique_sites,N_rows,Mean_abs_log2FC,Median_abs_log2FC
LPS+Nigericin / LPS,Nitrosyl,682,953,953,1.049,0.566
LPS+Nigericin / Nigericin,Sulfo (STY),717,1390,1390,1.003,0.406
P3C4+Nigericin / Nigericin,Nitrosyl,676,939,939,0.99,0.541
P3C4+Nigericin / Unstim,Oxidation (W),345,465,465,0.981,0.727
LPS+Nigericin / Nigericin,Nitrosyl,678,948,948,0.978,0.4
P3C4+Nigericin / P3C4,Oxidation (W),344,464,464,0.945,0.772
P3C4+Nigericin / LPS+Nigericin,Nitrosyl,679,944,944,0.927,0.46
Nigericin / Unstim,Oxidation (W),346,467,467,0.827,0.563
P3C4+Nigericin / LPS,Oxidation (W),345,466,466,0.813,0.603
LPS+Nigericin / P3C4,Oxidation (W),344,465,465,0.793,0.52
LPS+Nigericin / Unstim,Oxidation (W),345,465,465,0.763,0.476
LPS+Nigericin / LPS,Oxidation (W),344,465,465,0.69,0.477
P3C4+Nigericin / LPS+Nigericin,Oxidation (W),345,465,465,0.583,0.431
P3C4 / Unstim,Oxidation (W),344,464,464,0.565,0.301
P3C4+Nigericin / Nigericin,Oxidation (W),345,466,466,0.563,0.396
LPS / Unstim,Oxidation (W),345,466,466,0.531,0.32
LPS+Nigericin / Nigericin,Oxidation (W),345,468,468,0.507,0.246
