Genes,PTM.ModificationTitle,Comparison (group1/group2),N_sites,PTM_log2FC,Protein_log2FC,Corrected_log2FC,Abs_corrected_log2FC,Pvalue,Correction_class
HSP90AB1,Crotonyl,P3C4+Nigericin / Unstim,3,-1.382,-0.98,-0.402,0.464,0.2302,Direction reversed
HSP90AB1,Acetyl (K),LPS / Unstim,2,-0.39,-0.337,-0.053,0.255,0.2419,Substantially reduced
HSP90AB1,Crotonyl,P3C4+Nigericin / P3C4,3,-1.519,-0.922,-0.597,0.851,0.2438,Robust after correction
HSPA8,Crotonyl,P3C4+Nigericin / Unstim,3,1.969,-0.871,2.839,2.839,0.245,Robust after correction
HSP90AA1,Sulfo (STY),P3C4+Nigericin / Unstim,1,-0.902,-0.981,0.079,0.079,0.2498,Direction reversed
HSPA8,Sulfo (STY),P3C4+Nigericin / Unstim,6,1.313,-0.871,2.183,2.183,0.2513,Robust after correction
HSPA8,Oxidation (W),P3C4+Nigericin / P3C4,1,-0.552,-0.881,0.329,0.329,0.2559,Direction reversed
HSPA8,HexNAc (ST),P3C4 / Unstim,4,3.771,0.01,3.761,3.761,0.265,Protein stable
HSP90AA1,Sulfo (STY),P3C4+Nigericin / P3C4,1,-1.037,-0.914,-0.122,0.122,0.2664,Substantially reduced
HSP90AB1,GlyGly (K),LPS+Nigericin / Unstim,2,-0.759,-0.696,-0.062,2.096,0.2713,Robust after correction
HSP90AB1,Crotonyl,LPS+Nigericin / LPS,3,-0.58,-0.359,-0.221,0.221,0.2722,Robust after correction
IL1B,Nitrosyl,LPS+Nigericin / LPS,1,-0.957,-0.922,-0.035,0.035,0.2811,Substantially reduced
HSPA8,Trimethyl (K),LPS / Unstim,3,-0.201,-0.299,0.098,0.402,0.2814,Protein stable
PPP2CA,Trimethyl (K),P3C4+Nigericin / Unstim,1,-0.942,-1.076,0.133,0.133,0.2833,Direction reversed
HSP90AB1,Acetyl (K),LPS+Nigericin / Unstim,2,-0.905,-0.696,-0.209,0.223,0.2836,Direction reversed
PYCARD,Sulfo (STY),LPS+Nigericin / LPS,1,-1.156,0.197,-1.353,1.353,0.285,Protein stable
HSP90AB1,Oxidation (W),LPS+Nigericin / LPS,2,-0.625,-0.359,-0.266,0.299,0.2907,Robust after correction
HSP90AB1,Myristoyl,P3C4 / Unstim,1,-0.304,-0.059,-0.245,0.245,0.2915,Protein stable
PPP2CA,Trimethyl (K),LPS / Unstim,1,-0.914,-0.413,-0.501,0.501,0.2915,Robust after correction
HSP90AA1,GlyGly (K),LPS / Unstim,5,-0.534,-0.365,-0.169,4.118,0.2917,Robust after correction
