"Genes","PTM.ModificationTitle","Comparison (group1/group2)","N_sites","Mean_corr","Mean_abs_corr","N_robust_sites","Min_p"
"GSDMD","Oxidation (W)","LPS+Nigericin / Unstim",1,0.764382425985312,0.764382425985312,0,0.553928499012459
"IL1B","Phospho (STY)","LPS / Unstim",1,0.74616211527911,0.74616211527911,0,0.148087381344198
"IL1B","Sulfo (STY)","P3C4+Nigericin / P3C4",5,-0.106272273086524,0.746023320407684,0,0.00398519911605335
"PYCARD","Phospho (STY)","LPS / Unstim",1,-0.739980975428186,0.739980975428186,0,0.836673053934438
"HSPA8","GlyGly (K)","P3C4 / Unstim",2,0.711635144514124,0.72077040116322,0,0.38753308249302
"HSP90AA1","Sulfo (STY)","P3C4 / Unstim",3,-0.577351895602384,0.711928706442076,0,0.219617136357225
"IL1B","Phospho (STY)","LPS+Nigericin / Unstim",1,0.706270949690667,0.706270949690667,0,0.306511063919471
"HSP90AA1","HexNAc (ST)","LPS / Unstim",1,0.705592618422478,0.705592618422478,0,0.834503308777495
"PYCARD","Trimethyl (K)","P3C4 / Unstim",1,0.700472298344802,0.700472298344802,0,0.394365024291245
"HSPA8","Sulfo (STY)","LPS+Nigericin / Unstim",6,0.69683699700909,0.69683699700909,0,0.207701523104468
"HSP90AB1","Crotonyl","LPS+Nigericin / Unstim",3,0.21174519611482,0.696293616014936,0,0.140440612943892
"IL1B","Myristoyl","P3C4+Nigericin / P3C4",1,-0.69568490293795,0.69568490293795,0,0.163878955614249
"IL1B","Myristoyl","P3C4 / Unstim",1,0.68143381089959,0.68143381089959,0,0.169918400084751
"IL1B","Trimethyl (K)","P3C4 / Unstim",2,0.619178691216235,0.619178691216235,0,0.222748918954676
"HSP90AA1","Phospho (STY)","P3C4 / Unstim",1,0.610263164145893,0.610263164145893,0,0.177532570041343
"HSPA8","GlyGly (K)","LPS+Nigericin / LPS",2,0.142952713836298,0.603783148793687,0,0.418133451177163
"HSPA8","Nitrosyl","P3C4+Nigericin / Unstim",1,0.602176377078992,0.602176377078992,0,0.888961242951491
"HSP90AB1","Crotonyl","LPS / Unstim",3,0.432784298083884,0.600929646383252,0,0.380918574281419
"HSP90AB1","Phospho (STY)","LPS+Nigericin / LPS",1,0.594712069754772,0.594712069754772,0,0.887797334933294
"PYCARD","Sulfo (STY)","P3C4+Nigericin / P3C4",1,-0.587419037270949,0.587419037270949,0,0.60146871010171
"PYCARD","Phospho (STY)","P3C4 / Unstim",1,0.578583493135972,0.578583493135972,0,0.412557837575816
"HSP90AA1","Phospho (STY)","LPS / Unstim",1,0.578231324820388,0.578231324820388,0,0.537585832006194
"CASP1","Nitrosyl","LPS / Unstim",1,-0.573988810385444,0.573988810385444,0,0.827093306336037
"HSP90AB1","Hex (K)","P3C4+Nigericin / Unstim",1,-0.549037640440539,0.549037640440539,0,0.588555325673856
"IL1B","Hex (K)","P3C4+Nigericin / Unstim",1,0.517506653390161,0.517506653390161,0,0.820087839395215
"HSPA8","Nitrosyl","P3C4+Nigericin / P3C4",1,0.511776876518274,0.511776876518274,0,0.862374568483211
"HSP90AB1","Acetyl (K)","P3C4 / Unstim",2,0.504250785287267,0.508440185248998,0,0.544114703349597
"HSP90AB1","Myristoyl","LPS+Nigericin / Unstim",1,0.507364022967266,0.507364022967266,0,0.67518787943424
"PPP2CA","Trimethyl (K)","LPS / Unstim",1,-0.501222403797833,0.501222403797833,0,0.291473396227335
"CASP1","Nitrosyl","P3C4+Nigericin / Unstim",1,0.492863780035526,0.492863780035526,0,0.900311890934377
"GSDMD","Nitrosyl","P3C4+Nigericin / P3C4",2,0.489445618460666,0.489445618460666,0,0.819343921086368
"GSDMD","Nitrosyl","LPS+Nigericin / LPS",2,0.302540338314052,0.487193833312667,0,0.654366631982893
"HSP90AB1","HexNAc (ST)","P3C4 / Unstim",1,-0.484524455885972,0.484524455885972,0,0.452056718719684
"HSP90AB1","Acetyl (K)","LPS+Nigericin / LPS",2,-0.155707880184171,0.478385699274801,0,0.686665417762707
"HSP90AA1","Nitrosyl","P3C4 / Unstim",3,-0.378060097293482,0.472360451740959,0,0.341546815342795
"HSP90AB1","Acetyl (K)","P3C4+Nigericin / P3C4",2,-0.46959488637082,0.46959488637082,0,0.129264578376425
"HSP90AB1","Crotonyl","P3C4+Nigericin / Unstim",3,-0.402149590215609,0.464450714988923,0,0.230225559870444
"HSP90AA1","Nitrosyl","LPS / Unstim",4,-0.34008758625796,0.458473357663988,0,0.221291314962424
"HSP90AA1","Phospho (STY)","LPS+Nigericin / Unstim",1,-0.453590821845067,0.453590821845067,0,0.193764380285542
"HSP90AB1","Sulfo (STY)","LPS+Nigericin / Unstim",1,0.440039594536725,0.440039594536725,0,0.665741953518465
"GSDMD","Nitrosyl","P3C4 / Unstim",2,-0.433822396579692,0.433822396579692,0,0.578323194815282
"IL1B","Phospho (STY)","P3C4 / Unstim",1,0.42841475874946,0.42841475874946,0,0.0390532724903587
"HSP90AA1","Acetyl (K)","P3C4+Nigericin / P3C4",1,-0.425152398105869,0.425152398105869,0,0.076655611406207
"HSPA8","Myristoyl","P3C4+Nigericin / Unstim",2,0.32968996783138,0.419251195921733,0,0.0461448457054583
"HSPA8","Trimethyl (K)","P3C4+Nigericin / Unstim",3,0.41722457983311,0.41722457983311,0,0.438624574203969
"HSPA8","Trimethyl (K)","LPS+Nigericin / LPS",3,-0.140804416898076,0.414084239461529,0,0.112291416987292
"PPP2CA","Trimethyl (K)","P3C4+Nigericin / P3C4",1,0.403520836576721,0.403520836576721,0,0.17410637729292
"HSP90AA1","Sulfo (STY)","LPS+Nigericin / Unstim",2,0.00740163915245953,0.401802725174476,0,0.444767175360581
"HSPA8","Trimethyl (K)","LPS / Unstim",3,0.0976736227773224,0.401566358685943,0,0.281371009956215
"IL1B","Hex (K)","P3C4+Nigericin / P3C4",1,0.39835415266137,0.39835415266137,0,0.0196554775651124
"HSP90AA1","GlyGly (K)","P3C4 / Unstim",5,0.320571588550282,0.39744033008396,0,0.136474857166605
"HSPA8","Oxidation (W)","P3C4+Nigericin / Unstim",1,0.395151523396526,0.395151523396526,0,0.30939186810559
"HSPA8","Trimethyl (K)","P3C4 / Unstim",2,0.296261224508095,0.394345783612095,0,0.394924953985918
"HSPA8","Phospho (STY)","LPS / Unstim",4,-0.388153066237424,0.388153066237424,0,0.348431928840571
"HSP90AB1","Crotonyl","P3C4 / Unstim",3,0.195349737372574,0.386511130700133,0,0.598956672673177
"HSPA8","Trimethyl (K)","P3C4+Nigericin / P3C4",2,-0.171737989416482,0.386498933374806,0,0.141708513893205
"HSP90AB1","GlyGly (K)","P3C4+Nigericin / P3C4",2,-0.380866186141995,0.380866186141995,0,0.0362730104886866
"HSPA8","Crotonyl","LPS / Unstim",3,0.368337935473774,0.380699673053948,0,0.466392207033212
"PYCARD","Sulfo (STY)","LPS+Nigericin / Unstim",1,0.379552712714065,0.379552712714065,0,0.522145410768703
"HSPA8","Phospho (STY)","P3C4 / Unstim",4,-0.10018069866757,0.376900549233064,0,0.47960325024782
"HSP90AB1","Myristoyl","LPS / Unstim",1,0.376272713459093,0.376272713459093,0,0.864435935427609
"HSP90AA1","Phospho (STY)","P3C4+Nigericin / Unstim",1,0.368165905540883,0.368165905540883,0,0.334789111680386
"HSPA8","Myristoyl","P3C4+Nigericin / P3C4",3,0.12328117078133,0.367393091592308,0,0.0253323220312725
"GSDMD","Nitrosyl","P3C4+Nigericin / Unstim",2,0.055623221880974,0.359090181569539,0,0.458217032564371
"IL1B","GlyGly (K)","LPS+Nigericin / Unstim",1,-0.357435239259043,0.357435239259043,0,0.819110571225186
"IL1B","Hex (K)","LPS+Nigericin / Unstim",1,-0.357435239259043,0.357435239259043,0,0.81911052090693
"PPP2CA","Trimethyl (K)","LPS+Nigericin / Unstim",1,0.342228799540166,0.342228799540166,0,0.5626593608738
"HSP90AB1","Sulfo (STY)","P3C4+Nigericin / Unstim",1,0.339953408511478,0.339953408511478,0,0.140226516184597
"IL1B","Sulfo (STY)","P3C4+Nigericin / Unstim",4,-0.201486592026359,0.337278189426928,0,0.213398438659111
"HSPA8","Oxidation (W)","P3C4+Nigericin / P3C4",1,0.32918073429268,0.32918073429268,0,0.255874897231289
"HSPA8","Phospho (STY)","LPS+Nigericin / LPS",4,0.294698982694548,0.322475503957866,0,0.484532175536361
