Genes,PTM.ModificationTitle,Comparison (group1/group2),N_sites,Mean_log2FC,Mean_abs_log2FC,Min_Pvalue
HSP90AB1,Oxidation (W),LPS+Nigericin / LPS,2,-0.625,0.625,0.2907
HSP90AB1,Myristoyl,P3C4 / Unstim,1,-0.304,0.304,0.2915
PPP2CA,Trimethyl (K),LPS / Unstim,1,-0.914,0.914,0.2915
HSP90AA1,GlyGly (K),LPS / Unstim,5,-0.534,4.073,0.2917
HSPA8,Acetyl (K),P3C4+Nigericin / P3C4,2,0.646,6.324,0.2922
HSPA8,Acetyl (K),P3C4 / Unstim,4,-2.771,5.561,0.2927
HSPA8,Myristoyl,LPS+Nigericin / Unstim,2,-0.408,0.408,0.2953
IL1B,Phospho (STY),LPS+Nigericin / Unstim,1,1.371,1.371,0.3065
IL1B,Trimethyl (K),P3C4+Nigericin / Unstim,2,2.381,2.699,0.3081
HSPA8,Oxidation (W),P3C4+Nigericin / Unstim,1,-0.476,0.476,0.3094
PYCARD,Trimethyl (K),LPS+Nigericin / LPS,1,-0.729,0.729,0.3243
IL1B,Phospho (STY),LPS+Nigericin / LPS,1,-0.961,0.961,0.3271
HSP90AA1,Phospho (STY),P3C4+Nigericin / Unstim,1,-0.613,0.613,0.3348
PPP2CA,Trimethyl (K),LPS+Nigericin / LPS,1,0.515,0.515,0.3366
HSP90AA1,Nitrosyl,P3C4 / Unstim,3,-0.445,0.495,0.3415
HSP90AB1,GlyGly (K),P3C4+Nigericin / Unstim,2,-1.716,1.998,0.3427
HSPA8,Myristoyl,P3C4 / Unstim,2,0.094,0.094,0.3429
HSPA8,Phospho (STY),LPS+Nigericin / Unstim,4,-0.608,0.608,0.3434
HSP90AA1,Sulfo (STY),LPS / Unstim,3,-1.819,1.819,0.3438
HSP90AB1,Trimethyl (K),P3C4+Nigericin / Unstim,2,1.561,1.561,0.3455
PYCARD,Sulfo (STY),P3C4+Nigericin / Unstim,1,1.467,1.467,0.3467
HSPA8,Phospho (STY),LPS / Unstim,4,-0.687,0.687,0.3484
HSP90AB1,Nitrosyl,LPS / Unstim,4,2.524,2.825,0.3542
GSDMD,Oxidation (W),LPS+Nigericin / LPS,1,-0.666,0.666,0.3639
HSP90AB1,GlyGly (K),P3C4 / Unstim,2,-0.413,1.878,0.3649
HSP90AA1,Trimethyl (K),LPS+Nigericin / Unstim,1,-0.482,0.482,0.3669
HSP90AA1,Trimethyl (K),P3C4 / Unstim,1,0.189,0.189,0.3681
HSP90AB1,GlyGly (K),LPS / Unstim,2,-1.194,1.476,0.3774
HSPA8,Myristoyl,LPS+Nigericin / LPS,3,-0.225,0.225,0.3791
HSP90AB1,Crotonyl,LPS / Unstim,3,0.096,0.489,0.3809
HSP90AB1,Trimethyl (K),P3C4+Nigericin / P3C4,2,1.314,1.314,0.3839
HSPA8,Acetyl (K),LPS+Nigericin / Unstim,3,-0.875,3.157,0.3848
HSPA8,GlyGly (K),P3C4 / Unstim,2,0.722,0.722,0.3875
PYCARD,Phospho (STY),P3C4+Nigericin / P3C4,1,-1.367,1.367,0.3893
PYCARD,Trimethyl (K),P3C4 / Unstim,1,1.221,1.221,0.3944
HSPA8,Trimethyl (K),P3C4 / Unstim,2,0.306,0.394,0.3949
HSP90AA1,Hex (K),LPS+Nigericin / Unstim,2,-1.602,8.203,0.3956
HSPA8,Crotonyl,P3C4+Nigericin / P3C4,3,-3.803,3.803,0.4004
HSP90AB1,GlyGly (K),LPS+Nigericin / LPS,2,0.435,0.62,0.4039
PYCARD,Phospho (STY),P3C4 / Unstim,1,1.1,1.1,0.4126
HSPA8,GlyGly (K),LPS+Nigericin / LPS,2,-0.073,0.604,0.4181
HSPA8,Hex (K),P3C4 / Unstim,7,1.2,1.404,0.4199
GSDMD,Oxidation (W),P3C4 / Unstim,1,-4.723,4.723,0.4206
IL1B,Acetyl (K),LPS+Nigericin / Unstim,1,-5.942,5.942,0.4206
HSP90AA1,Hex (K),P3C4+Nigericin / P3C4,2,2.594,2.594,0.4217
HSPA8,Trimethyl (K),LPS+Nigericin / Unstim,3,-0.558,0.558,0.4217
GSDMD,Oxidation (W),P3C4+Nigericin / P3C4,1,4.338,4.338,0.4219
HSP90AB1,Hex (K),P3C4+Nigericin / P3C4,1,8.472,8.472,0.422
HSPA8,Crotonyl,P3C4 / Unstim,3,5.771,5.771,0.4222
HSP90AB1,Hex (K),LPS / Unstim,1,-10.165,10.165,0.4226
HSP90AB1,Hex (K),P3C4 / Unstim,1,-10.001,10.001,0.4226
HSP90AB1,Phospho (STY),LPS / Unstim,1,10.709,10.709,0.4226
HSP90AA1,Hex (K),LPS / Unstim,3,-1.355,6.091,0.4227
HSP90AB1,Hex (K),LPS+Nigericin / Unstim,1,-9.577,9.577,0.4227
HSP90AA1,Hex (K),P3C4 / Unstim,3,-5.629,5.629,0.4228
HSP90AA1,Hex (K),P3C4+Nigericin / Unstim,2,-5.841,5.841,0.4228
HSPA8,Hex (K),P3C4+Nigericin / P3C4,7,-0.632,1.512,0.4231
HSPA8,HexNAc (ST),P3C4+Nigericin / P3C4,4,-1.811,1.811,0.4231
HSP90AB1,Nitrosyl,P3C4 / Unstim,4,3.14,3.14,0.4237
HSP90AB1,Myristoyl,P3C4+Nigericin / P3C4,1,6.122,6.122,0.4239
HSP90AB1,HexNAc (ST),LPS+Nigericin / Unstim,1,0.415,0.415,0.4244
HSPA8,Acetyl (K),LPS+Nigericin / LPS,2,-2.166,3.416,0.4245
HSP90AB1,Myristoyl,P3C4+Nigericin / Unstim,1,5.818,5.818,0.4252
IL1B,Myristoyl,LPS+Nigericin / Unstim,1,0.893,0.893,0.4385
HSPA8,Trimethyl (K),P3C4+Nigericin / Unstim,3,-0.454,0.541,0.4386
HSP90AA1,Sulfo (STY),LPS+Nigericin / Unstim,2,-0.713,0.713,0.4448
HSPA8,Phospho (STY),P3C4+Nigericin / Unstim,4,0.439,1.003,0.4471
HSP90AB1,HexNAc (ST),P3C4 / Unstim,1,-0.543,0.543,0.4521
GSDMD,Nitrosyl,P3C4+Nigericin / Unstim,2,-0.13,0.359,0.4582
HSPA8,GlyGly (K),P3C4+Nigericin / P3C4,2,-0.711,0.711,0.4608
HSPA8,Acetyl (K),LPS / Unstim,3,0.368,1.001,0.4609
HSPA8,Crotonyl,LPS / Unstim,3,0.07,0.281,0.4664
PYCARD,Trimethyl (K),LPS+Nigericin / Unstim,1,0.921,0.921,0.4674
IL1B,Sulfo (STY),LPS+Nigericin / Unstim,5,0.615,0.615,0.4677
HSP90AA1,Trimethyl (K),LPS / Unstim,2,-0.358,0.358,0.4709
HSPA8,Oxidation (W),LPS+Nigericin / Unstim,1,-0.329,0.329,0.4731
CASP1,Nitrosyl,LPS+Nigericin / Unstim,1,-1.341,1.341,0.4779
HSPA8,Phospho (STY),P3C4 / Unstim,4,-0.09,0.377,0.4796
HSPA8,Phospho (STY),LPS+Nigericin / LPS,4,0.079,0.214,0.4845
HSPA8,GlyGly (K),LPS+Nigericin / Unstim,2,0.629,0.673,0.4974
HSPA8,HexNAc (ST),P3C4+Nigericin / Unstim,4,1.96,1.96,0.4991
PYCARD,Phospho (STY),LPS+Nigericin / LPS,1,1.004,1.004,0.5152
PYCARD,Sulfo (STY),LPS+Nigericin / Unstim,1,0.98,0.98,0.5221
HSP90AB1,Sulfo (STY),P3C4 / Unstim,1,0.19,0.19,0.5261
IL1B,Trimethyl (K),LPS / Unstim,2,1.376,1.376,0.5262
HSP90AA1,Phospho (STY),LPS / Unstim,1,0.213,0.213,0.5376
HSP90AB1,Acetyl (K),P3C4 / Unstim,2,0.446,0.508,0.5441
HSP90AA1,Sulfo (STY),LPS+Nigericin / LPS,2,-0.584,0.584,0.5447
PPP2CA,Trimethyl (K),P3C4 / Unstim,1,-0.397,0.397,0.5527
GSDMD,Oxidation (W),LPS+Nigericin / Unstim,1,0.899,0.899,0.5539
PPP2CA,Trimethyl (K),LPS+Nigericin / Unstim,1,-0.399,0.399,0.5627
PYCARD,Phospho (STY),LPS+Nigericin / Unstim,1,0.668,0.668,0.5761
HSP90AB1,Phospho (STY),P3C4 / Unstim,1,-0.35,0.35,0.5768
GSDMD,Nitrosyl,P3C4 / Unstim,2,-0.215,0.36,0.5783
HSP90AB1,Hex (K),P3C4+Nigericin / Unstim,1,-1.529,1.529,0.5886
CASP1,Nitrosyl,P3C4+Nigericin / P3C4,1,-0.854,0.854,0.5895
HSP90AA1,Hex (K),LPS+Nigericin / LPS,2,-0.351,0.351,0.5964
HSP90AB1,Crotonyl,P3C4 / Unstim,3,0.137,0.367,0.599
PYCARD,Sulfo (STY),P3C4+Nigericin / P3C4,1,-0.472,0.472,0.6015
HSP90AB1,Myristoyl,LPS+Nigericin / LPS,1,-0.228,0.228,0.6217
HSP90AB1,Trimethyl (K),P3C4 / Unstim,2,0.247,0.247,0.6259
CASP1,Nitrosyl,P3C4 / Unstim,1,0.627,0.627,0.6398
GSDMD,Nitrosyl,LPS+Nigericin / LPS,2,0.546,0.546,0.6544
HSPA8,Oxidation (W),LPS / Unstim,1,-0.166,0.166,0.6644
HSP90AB1,Sulfo (STY),LPS+Nigericin / Unstim,1,-0.256,0.256,0.6657
IL1B,Nitrosyl,LPS+Nigericin / Unstim,1,0.562,0.562,0.6676
HSP90AB1,Myristoyl,LPS+Nigericin / Unstim,1,-0.189,0.189,0.6752
CASP1,Nitrosyl,LPS+Nigericin / LPS,1,-0.949,0.949,0.6781
HSPA8,GlyGly (K),P3C4+Nigericin / Unstim,2,0.01,0.431,0.6794
IL1B,GlyGly (K),LPS+Nigericin / LPS,1,0.726,0.726,0.6807
IL1B,Hex (K),LPS+Nigericin / LPS,1,0.726,0.726,0.6807
HSP90AB1,Acetyl (K),LPS+Nigericin / LPS,2,-0.515,0.515,0.6867
HSPA8,Nitrosyl,LPS+Nigericin / Unstim,1,-0.711,0.711,0.6894
IL1B,Myristoyl,P3C4+Nigericin / Unstim,1,-0.319,0.319,0.6904
HSP90AA1,Acetyl (K),LPS+Nigericin / Unstim,1,-0.866,0.866,0.7174
HSP90AA1,Trimethyl (K),LPS+Nigericin / LPS,1,-0.207,0.207,0.7348
HSP90AA1,Acetyl (K),P3C4+Nigericin / Unstim,1,0.519,0.519,0.744
IL1B,GlyGly (K),P3C4+Nigericin / Unstim,1,-0.368,0.368,0.7554
HSPA8,Oxidation (W),LPS+Nigericin / LPS,1,-0.163,0.163,0.763
HSPA8,Acetyl (K),P3C4+Nigericin / Unstim,2,0.313,0.412,0.7663
HSP90AB1,Oxidation (W),P3C4 / Unstim,2,-0.024,0.071,0.7748
HSP90AA1,Acetyl (K),LPS+Nigericin / LPS,1,-0.639,0.639,0.7804
HSPA8,Oxidation (W),P3C4 / Unstim,1,0.076,0.076,0.7891
IL1B,GlyGly (K),LPS / Unstim,1,-0.419,0.419,0.7948
IL1B,Hex (K),LPS / Unstim,1,-0.419,0.419,0.7948
IL1B,GlyGly (K),LPS+Nigericin / Unstim,1,0.307,0.307,0.8191
