Comparison (group1/group2),PTM.ModificationTitle,rows_total,rows_candidate,candidate_frac,median_abs_log2,median_p,median_ratios
P3C4+Nigericin / LPS,Hydroxymethyl,799,79,0.09887359198998748,0.9429085814495964,0.2838116848849233,6.0
LPS / Nigericin,Oxidation (W),350,78,0.22285714285714286,0.8022658686149469,0.1897060218956157,6.0
LPS / Nigericin,Trioxidation (C),483,78,0.16149068322981366,0.9243204670537024,0.2831546281550902,6.0
P3C4 / Nigericin,Trimethyl (K),724,78,0.10773480662983426,1.1583889003548231,0.3554326409424887,6.0
P3C4+Nigericin / Nigericin,Methyl (E),1746,78,0.044673539518900345,0.6724528088376215,0.33406714228654083,6.0
P3C4 / Nigericin,Carboxy,584,77,0.13184931506849315,0.9634073213355043,0.27478289655350085,6.0
P3C4+Nigericin / LPS,Propionamide,676,77,0.11390532544378698,1.0389213489417406,0.2932581635801458,6.0
Unstim / LPS,Oxidation (M),2891,77,0.026634382566585957,0.5743630899658845,0.3863294302317136,6.0
Unstim / Nigericin,Trioxidation (C),458,75,0.16375545851528384,0.9839344673704373,0.28524391952906114,6.0
P3C4+Nigericin / LPS,Oxidation (W),341,74,0.21700879765395895,0.8530230886489818,0.2017163676653671,6.0
P3C4+Nigericin / LPS,Carboxy,617,74,0.11993517017828201,0.9292030640254276,0.3135986880433,6.0
P3C4 / LPS,Methyl (E),1520,74,0.04868421052631579,0.6431170193697134,0.34910047119397536,6.0
P3C4+Nigericin / LPS+Nigericin,Didehydro,2801,74,0.026419136022848982,0.7367675815104704,0.4191524086967555,6.0
Unstim / Nigericin,Propionamide,687,71,0.10334788937409024,1.0967676936345838,0.3311978595438551,6.0
P3C4 / LPS+Nigericin,Sulfo (STY),1044,71,0.06800766283524905,0.8382221319482297,0.3292285008793901,6.0
Unstim / P3C4+Nigericin,Carboxymethyl,571,70,0.12259194395796848,1.0460517618095204,0.2784989475002923,6.0
Unstim / LPS+Nigericin,Cation:Mg[II],1165,69,0.0592274678111588,0.859446990763275,0.3477261301571668,6.0
Unstim / LPS,Oxidation (P),1722,69,0.04006968641114982,0.6271279586209559,0.3460912598920439,6.0
LPS+Nigericin / Nigericin,Didehydro,2415,69,0.02857142857142857,0.7592953713571912,0.4342986150467544,6.0
Unstim / P3C4+Nigericin,Oxidation (W),379,68,0.17941952506596306,0.937489091637026,0.1890146109350077,6.0
P3C4 / P3C4+Nigericin,HexNAc (ST),431,68,0.15777262180974477,1.0723436258720769,0.2523878443305739,6.0
P3C4+Nigericin / LPS,Carboxymethyl,555,68,0.12252252252252252,0.9761274828050384,0.2681943027132376,6.0
Unstim / Nigericin,Carboxymethyl,559,68,0.12164579606440072,0.920887952581875,0.2908548956724309,6.0
P3C4+Nigericin / LPS,Trimethyl (K),760,68,0.08947368421052632,1.0992476999846033,0.3831917911232735,6.0
P3C4 / P3C4+Nigericin,Crotonyl,479,67,0.13987473903966596,1.239989156578633,0.3160797603270425,6.0
Unstim / P3C4+Nigericin,Phospho (STY),553,67,0.12115732368896925,1.1050752000743302,0.2931507947893389,6.0
Unstim / LPS,Methyl (E),1601,67,0.04184884447220487,0.7197190971607116,0.3415704938721954,6.0
Unstim / P3C4+Nigericin,Trioxidation (C),506,66,0.13043478260869565,1.0547328519637817,0.23053670070309729,6.0
P3C4+Nigericin / LPS,Trioxidation (C),475,65,0.1368421052631579,0.9006793257320999,0.2767360294346358,6.0
Unstim / Nigericin,Carboxy,621,65,0.10466988727858294,0.9090331339959816,0.3200438501510451,6.0
Unstim / Nigericin,Myristoyl,450,64,0.14222222222222222,1.0230089931035906,0.3041166152099432,6.0
Unstim / P3C4+Nigericin,Propionamide,697,64,0.09182209469153516,1.236160282893258,0.2854903270210361,6.0
Unstim / P3C4+Nigericin,Trimethyl (K),757,64,0.0845442536327609,1.2946167159238977,0.3754596657557874,6.0
LPS / Nigericin,GlyGly (K),468,62,0.13247863247863248,1.1185494447118982,0.2977757637399332,6.0
P3C4 / Nigericin,Crotonyl,487,62,0.1273100616016427,1.1212981060659446,0.3101892683491907,6.0
Unstim / Nigericin,GlyGly (K),491,62,0.12627291242362526,1.224158566767631,0.3675826404139428,6.0
Unstim / LPS+Nigericin,Sulfo (STY),1081,62,0.05735430157261795,0.8837729079107272,0.3663455379790002,6.0
P3C4+Nigericin / Nigericin,Oxidation (P),1824,62,0.03399122807017544,0.6271152952378494,0.3610903116389705,6.0
Unstim / Nigericin,Crotonyl,509,61,0.11984282907662082,1.1323538456213984,0.3526083347902763,6.0
Unstim / Nigericin,Oxidation (W),323,60,0.18575851393188855,0.8887294879963041,0.2068937651528693,6.0
P3C4+Nigericin / LPS,Phospho (STY),532,59,0.11090225563909774,1.0511965986356975,0.2638004348829628,6.0
P3C4 / LPS,Cation:Na (DE),1165,58,0.04978540772532189,0.7395721630387485,0.3944222768284324,6.0
LPS / Nigericin,Biotin,324,57,0.17592592592592593,1.1937376793960488,0.27691566085701325,6.0
LPS / Nigericin,HexNAc (ST),420,57,0.1357142857142857,0.9004182059485122,0.34763334704398313,6.0
P3C4 / Nigericin,GlyGly (K),495,57,0.11515151515151516,1.2419809899192356,0.3981640853669416,6.0
P3C4 / LPS+Nigericin,Formyl,819,57,0.0695970695970696,0.9189621911767758,0.3458233085960555,6.0
P3C4 / Nigericin,Myristoyl,404,56,0.13861386138613863,1.2960862923877627,0.32625542330424706,6.0
P3C4 / P3C4+Nigericin,GlyGly (K),478,56,0.11715481171548117,1.273318687242402,0.41122208472557287,6.0
P3C4+Nigericin / LPS,Crotonyl,510,56,0.10980392156862745,0.9446192358487986,0.32891961807583503,6.0
P3C4 / LPS+Nigericin,Cation:Mg[II],1145,56,0.04890829694323144,0.8364004915407649,0.3238696493108117,6.0
LPS+Nigericin / Nigericin,Oxidation (M),2913,56,0.01922416752488843,0.5335066005447898,0.409868639536678,6.0
P3C4 / Nigericin,HexNAc (ST),418,55,0.13157894736842105,1.0598771877288662,0.30212076366925855,6.0
